Date,Gasoline,E85,CNG,Propane,Diesel,B20,B99_B100,Electricity
2011-01-24,3.08,3.89,1.93,4.22,3.09,3.19,3.99,1.35
2011-04-01,3.69,4.52,2.06,4.41,3.62,3.69,4.26,1.43
2011-07-14,3.68,4.60,2.07,4.26,3.54,3.67,4.13,1.47
2011-09-30,3.46,4.51,2.09,4.23,3.42,3.57,4.12,1.46
2012-01-13,3.37,4.44,2.13,4.26,3.46,3.61,4.14,1.37
2012-03-30,3.89,4.90,2.08,4.02,3.69,3.82,4.29,1.43
2012-07-13,3.52,4.58,2.05,3.64,3.36,3.50,4.16,1.44
2012-09-28,3.82,4.91,2.12,3.54,3.70,3.82,4.32,1.43
2013-01-10,3.29,4.48,2.10,3.70,3.55,3.70,4.37,1.36
2013-03-29,3.59,4.66,2.10,3.77,3.58,3.75,4.23,1.41
2013-07-12,3.65,4.57,2.14,3.77,3.50,3.55,4.13,1.49
2013-10-04,3.45,4.30,2.09,4.09,3.51,3.67,4.12,1.45
2014-01-01,3.34,4.29,2.09,4.31,3.49,3.62,4.22,1.36
2014-04-01,3.65,4.82,2.15,4.57,3.56,3.66,4.17,1.43
2014-07-01,3.70,4.56,2.17,4.24,3.51,3.63,4.18,1.51
2014-10-01,3.34,4.07,2.16,4.25,3.38,3.48,4.15,1.46
2015-01-01,2.30,3.12,2.11,4.04,2.75,2.90,3.96,1.41
2015-04-01,2.42,2.77,2.09,4.01,2.56,2.62,3.69,1.47
2015-07-01,2.82,3.07,2.12,3.97,2.61,2.63,3.48,1.49
2015-10-01,2.35,2.84,2.09,3.97,2.30,2.39,3.33,1.47
2016-01-01,1.98,2.42,2.09,3.91,1.99,2.17,3.15,1.39
2016-04-01,2.06,2.39,2.02,3.79,1.90,2.01,2.76,1.43
2016-07-01,2.26,2.59,2.05,3.79,2.19,2.28,2.97,1.45
2016-10-01,2.22,2.51,2.06,3.67,2.21,2.21,3.12,1.41
2017-01-01,2.32,2.65,2.11,3.84,2.30,2.32,2.99,1.38
2017-04-01,2.38,2.74,2.15,3.87,2.27,2.24,3.03,1.43
2017-07-01,2.26,2.58,2.15,3.89,2.20,2.24,3.15,1.47
2017-10-01,2.49,2.73,2.17,3.82,2.46,2.41,3.31,1.43
2018-01-01,2.50,2.68,2.17,3.88,2.63,2.55,3.41,1.35
2018-04-01,2.67,2.87,2.18,3.87,2.70,2.59,3.39,1.41
2018-07-01,2.88,3.05,2.22,3.85,2.89,2.75,3.48,1.43
2018-10-01,2.91,3.10,2.19,3.93,2.99,2.78,3.57,1.39
2019-01-01,2.27,2.59,2.19,3.99,2.65,2.52,3.50,1.36
2019-04-01,2.76,3.00,2.22,3.97,2.75,2.59,3.44,1.43
2019-07-01,2.76,3.06,2.21,3.87,2.71,2.58,3.55,1.42
2019-10-01,2.68,2.97,2.20,3.79,2.74,2.58,3.65,1.37
2020-01-01,2.59,2.96,2.18,3.82,2.71,2.60,3.65,1.35
2020-04-01,1.91,2.28,2.19,3.74,2.33,2.13,3.44,1.42
2020-07-01,2.22,2.58,2.15,3.75,2.20,2.11,3.08,1.40
2020-10-01,2.18,2.54,2.18,3.74,2.13,2.06,3.26,1.44
2021-01-01,2.32,2.65,2.19,3.90,2.35,2.18,3.11,1.33
2021-04-01,2.82,3.12,2.19,4.01,2.77,2.53,3.49,1.42
2021-07-01,3.09,3.40,2.22,4.08,2.90,2.74,3.56,1.40
2021-10-01,3.25,3.55,2.33,4.34,3.10,2.96,3.73,1.40
2022-01-01,3.28,3.87,2.49,4.69,3.22,3.08,3.88,1.34
2022-04-01,4.13,4.60,2.59,4.83,4.50,4.16,4.96,1.41
2022-07-01,4.70,5.10,2.76,5.19,5.02,4.80,5.48,1.48
